state,medianHouseholdIncome2021,numberCode,,,statex,nc
Alabama,53913,1,,,Alabama,1
Alaska,77845,2,,,Alaska,2
Arizona,69056,4,,,Arizona,4
Arkansas,52528,5,,,Arkansas,5
California,84907,6,,,California,6
Colorado,82254,8,,,Colorado,8
Connecticut,83771,9,,,Connecticut,9
Delaware,71091,10,,,Delaware,10
Florida,63062,12,,,Florida,12
Georgia,66559,13,,,Georgia,13
Hawaii,84857,15,,,,
Idaho,66474,16,,,Idaho,16
Illinois,72205,17,,,Illinois,17
Indiana,62743,18,,,Indiana,18
Iowa,65600,19,,,Iowa,19
Kansas,64124,20,,,Kansas,20
Kentucky,55573,21,,,Kentucky,21
Louisiana,52087,22,,,Louisiana,22
Maine,64767,23,,,Maine,23
Maryland,90203,24,,,Maryland,24
Massachusetts,89645,25,,,Massachusetts,25
Michigan,63498,26,,,Michigan,26
Minnesota,77720,27,,,Minnesota,27
Mississippi,48716,28,,,Mississippi,28
Missouri,61847,29,,,Missouri,29
Montana,63249,30,,,Montana,30
Nebraska,66817,31,,,Nebraska,31
Nevada,66274,32,,,Nevada,32
New Hampshire,88465,33,,,New Hampshire,33
New Jersey,89296,34,,,New Jersey,34
New Mexico,53992,35,,,New Mexico,35
New York,74314,36,,,New York,36
North Carolina,61972,37,,,North Carolina,37
North Dakota,66519,38,,,North Dakota,38
Ohio,62262,39,,,Ohio,39
Oklahoma,55826,40,,,Oklahoma,40
Oregon,71562,41,,,Oregon,41
Pennsylvania,68957,42,,,Pennsylvania,42
Rhode Island,74008,44,,,Rhode Island,44
South Carolina,59318,45,,,South Carolina,45
South Dakota,66143,46,,,South Dakota,46
Tennessee,59695,47,,,Tennessee,47
Texas,66963,48,,,Texas,48
Utah,79449,49,,,Utah,49
Vermont,72431,50,,,Vermont,50
Virginia,80963,51,,,Virginia,51
Washington,84247,53,,,Washington,53
West Virginia,51248,54,,,West Virginia,54
Wisconsin,67125,55,,,Wisconsin,55
Wyoming,65204,56,,,Wyoming,56
